,id,rating
0,12,4.75
1,13,4.666666666666667
2,18,3.6666666666666665
3,22,3.6666666666666665
4,24,3.4
5,35,2.5
6,58,4.5
7,74,3.25
8,75,2.5
9,95,3.142857142857143
10,98,4.8
11,118,3.6666666666666665
12,120,4.0
13,121,4.0
14,122,3.5714285714285716
15,155,4.2
16,161,3.4
17,163,2.75
18,180,4.0
19,189,3.0
20,197,4.0
21,200,3.0
22,201,3.6666666666666665
23,217,2.6666666666666665
24,242,2.5
25,254,2.5
26,272,3.625
27,280,3.8333333333333335
28,285,3.0
29,296,2.5
30,297,3.6666666666666665
31,298,4.0
32,306,2.0
33,310,3.6666666666666665
34,314,1.5
35,329,3.6666666666666665
36,330,2.5
37,331,2.2857142857142856
38,332,3.0
39,345,4.0
40,364,3.6666666666666665
41,388,4.0
42,393,4.0
43,395,2.6
44,411,4.333333333333333
45,414,2.75
46,415,3.0
47,425,4.0
48,435,3.0
49,453,4.0
50,462,3.25
51,479,3.5
52,497,4.0
53,503,2.0
54,524,4.0
55,534,2.6666666666666665
56,550,3.8
57,557,4.4
58,558,3.6
59,559,3.6
60,563,3.6666666666666665
61,568,3.0
62,584,2.5
63,585,4.5
64,587,4.0
65,588,4.0
66,591,1.5
67,594,4.0
68,597,4.2
69,602,3.8
70,603,3.888888888888889
71,604,3.0
72,605,2.0
73,607,4.0
74,608,3.0
75,612,3.5
76,616,3.3333333333333335
77,628,3.0
78,640,4.2
79,644,3.6666666666666665
80,652,3.4
81,664,3.5
82,671,3.25
83,672,4.333333333333333
84,673,4.666666666666667
85,674,4.0
86,675,4.0
87,676,2.6666666666666665
88,686,3.25
89,710,3.8333333333333335
90,714,3.4
91,752,3.0
92,754,4.0
93,767,3.4
94,786,3.6666666666666665
95,787,3.5714285714285716
96,795,4.0
97,802,3.0
98,808,4.25
99,809,4.0
100,818,2.0
101,824,3.6666666666666665
102,853,4.0
103,857,3.2
104,861,4.0
105,863,3.5
106,869,2.3333333333333335
107,879,3.6666666666666665
108,889,4.333333333333333
109,920,3.25
110,921,3.5
111,928,4.0
112,950,4.5
113,953,4.0
114,954,3.0
115,955,2.5
116,956,3.6666666666666665
117,978,3.5
118,1125,4.0
119,1248,2.0
120,1250,3.3333333333333335
121,1271,3.5
122,1370,2.5
123,1372,3.0
124,1408,2.75
125,1422,4.0
126,1427,2.5
127,1439,3.0
128,1452,4.0
129,1487,4.0
130,1495,2.0
131,1538,4.0
132,1571,2.6666666666666665
133,1572,4.0
134,1573,3.6666666666666665
135,1577,3.6666666666666665
136,1581,4.0
137,1593,3.5
138,1597,3.0
